NetName CVcr CVcl CVsr CVsl phi_r phi_l phi_c phi_s tot_biomass Adiv_mean Gdiv_mean Bdiv_mean Adiv_var Gdiv_var Bdiv_var tot_K tot_c tot_env rho_eta_hetero rho_eta_fluc d r_std Neutral
N25_Complete_undir 0.06633748704927368 0.08611458305438556 0.3336313073820314 0.4935770452538029 0.19883471838964015 0.17447039703822625 0.7703397577548314 0.6759457527253407 118.29113897884066 4.918180974374064 6.2072334252622765 1.2424135471679196 0.48450775379260747 3.344001244856656 0.04641380224618973 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.06246951435727604 0.07671002828852201 0.3234220798665547 0.4136971783384531 0.19315166850405274 0.1854255535331792 0.8143591620422235 0.7817845922119325 120.41545876356145 4.414570395182975 5.154007638768104 1.1454201135447 0.6462122904264034 2.703310740379018 0.027143477971279858 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.08733187554499214 0.10707901483267505 0.5123430886730769 0.7332890531135742 0.17045584780146825 0.14602565574654816 0.8155834799326422 0.6986918548663013 118.95098066410134 5.17380163482502 8.16731692271265 1.5579438964378547 0.7691983342808836 4.629247111267476 0.05093119283090951 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.037573334510900384 0.051452684377989805 0.16956382946005522 0.19793277566889073 0.22158814548212166 0.25995029981321416 0.7302502282460764 0.8566738322495303 104.85469785694964 3.8150694369091873 3.933044162463937 1.024947257866375 0.20473532427621288 0.5341945276040467 0.003961136318661213 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.06155472194913176 0.08342596849881244 0.3973498103706939 0.5201975006171381 0.15491317811805771 0.1603736434716425 0.7378364681496983 0.7638441359277901 114.45445964936621 4.384196186760268 5.30270821087426 1.1895539782088744 0.6714905311247522 3.438502829681968 0.06713694420952987 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.040457824069277594 0.05127635976059385 0.07326359393169937 0.08751308085868348 0.5522227602838424 0.5859279465134493 0.7890151379343749 0.8371730627333959 105.66410402468048 3.587811796529205 3.596248188336035 1.0022063975678186 0.07142536806884849 0.07624552424395802 1.0374480604021542e-5 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.08454173985678581 0.10517794647831197 0.510309407721282 0.7194269764646345 0.16566760984144027 0.14619683431273486 0.8037972092773136 0.7093275960112231 107.44734267907768 5.294172300760249 8.116524799724186 1.5014433961775389 0.5757009247641685 6.1750073651257384 0.08528165453811418 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.06998782661331633 0.09678720259311949 0.42370185657713083 0.577662721915076 0.16518177942082188 0.16754967720999744 0.7231103362655891 0.733476197273849 108.60159371480671 4.665058585631763 6.281035817490686 1.3079722962686557 0.6858097013216533 5.696875597492368 0.10111191368833922 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.08999173348769543 0.10333751308788743 0.573029568533331 0.7424781592045779 0.15704553207966082 0.13917919578751464 0.8708525181088734 0.7717796967216134 84.32008201448562 5.707217520317077 8.45123328149835 1.4800084949906631 0.3480517922899324 1.9725843214617376 0.03243036729068829 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.03901782145641606 0.05901887319404397 0.1709304042123276 0.2200109373128166 0.22826729765377848 0.268254269150854 0.6611075295885798 0.7769177582716937 113.50183665498665 3.8809259214772744 4.004277596133027 1.0292499540247158 0.2393079425420265 0.3676263037228826 0.0016091515858976822 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.05266649682080575 0.07179545141268329 0.2906615876607886 0.3569494685234571 0.18119524235954165 0.2011361768086376 0.733563140624 0.8142933756509785 119.13071076255528 4.066723557939077 4.481340328076202 1.083846824469911 0.5974256783396601 1.8304518695760539 0.013850421319020919 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.04455571288178489 0.05601794231895422 0.09424900935527385 0.11810820876362314 0.47274462815657925 0.4742933865931893 0.7953828905048701 0.7979886439891735 121.57287546967969 3.5289552387006706 3.5610436126557645 1.0076212437742833 0.09251876160563166 0.1491753855015195 0.0005675464940995122 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.07693948909639811 0.09878669626867538 0.6571906339897395 0.8464112965938752 0.11707331954703319 0.11671240290177175 0.7788446420674069 0.7764435997421152 116.14967574013002 4.798639591365303 6.410326758354081 1.28794461446215 1.5280429521274566 8.286793387737477 0.1031390779304233 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.045372084234814904 0.05569775741333714 0.1065501721111529 0.12749755252821296 0.425828352369838 0.4368535419612248 0.8146124070688401 0.8357036664494029 120.3194282083887 3.686346649192357 3.715721050181325 1.0068136243724628 0.1398734216477537 0.18215066274454506 0.0002206626903285011 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.03449731682843422 0.05404205970836513 0.14495928839276093 0.18892523274962472 0.2379793472424149 0.28604998348730354 0.638342006477862 0.7672838947080713 115.85330561868625 3.96489110163196 4.044245084240233 1.0176633533605974 0.1997391593320047 0.3020726873204393 0.0005849622581876667 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.04335126866965998 0.0698048497971085 0.25329624852807225 0.3420835082060598 0.1711484829387651 0.20405792188923755 0.621035197348934 0.7404515051204835 110.10614982919547 4.476681782923466 6.120048182190294 1.3528404304405834 0.3101771559228986 1.9637680503742563 0.031298350959366374 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.06296869091657668 0.08728649574609162 0.3578465357231418 0.5458415390337171 0.17596562948228234 0.15991178667092953 0.7214024389264841 0.6555868510055577 115.26850174149331 4.5672766233278965 6.39366817794686 1.3695894294589621 0.5974244201366417 4.38041928591464 0.057549204431869554 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.07834760018815816 0.0979127828629932 0.478106877505156 0.6364899812515119 0.163870473056128 0.15383240231129816 0.8001774425897782 0.7511616703927817 121.08777343477621 4.550002518468734 6.251904141927491 1.3313650420759164 0.72995195922508 5.639721196988253 0.07220586856304663 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.09271103958991309 0.10887094403140521 0.5745513479748422 0.7478133468050601 0.16136249600091898 0.14558571934633532 0.8515682528036994 0.7683084962705489 109.38191706242024 5.211176583467632 7.031856477078642 1.336921572407378 0.804342365323917 3.6734025850308565 0.04663553641018645 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.062204294222724506 0.08296519771966099 0.3083761352594413 0.46088877508226467 0.2017156553648068 0.18001132204804168 0.7497637073428369 0.669090140466968 108.32953154066723 4.741092021291598 6.249227560409894 1.2978492082972786 0.5513714334390758 2.8225301950249193 0.028365179342665914 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.03595264342053526 0.049091549862834274 0.10603909077364508 0.13601273186373294 0.3390508458553373 0.36093348902084854 0.7323591029615041 0.779626210874747 120.13565612113725 3.68474030463057 3.70890708424608 1.005794348380779 0.13694713087894383 0.16509134176662377 0.00012730105803803664 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
N25_Complete_undir 0.04779647084343124 0.057576718655818745 0.14986475086905884 0.16805043682757229 0.31893070629525416 0.3426157036110248 0.8301353734509999 0.8917843577093892 113.7117857252537 3.7408098174889357 3.7608702636846956 1.0044345748983603 0.25839788250839346 0.2958521718817476 7.481358513217102e-5 982.1527938913548 190.26135163756206 12.5 0.8 0.95 1.0e-5 1.0 false
