NetName CVcr CVcl CVsr CVsl phi_r phi_l phi_c phi_s tot_biomass Adiv_mean Gdiv_mean Bdiv_mean Adiv_var Gdiv_var Bdiv_var tot_K tot_c tot_env rho_eta_hetero rho_eta_fluc d r_std Neutral
N500_Complete_undir 0.008962260808181187 0.04335672355927784 0.01572468092908486 0.05364771777427347 0.569948658964794 0.8081746131625634 0.20670982658382556 0.29310996965886893 2460.244857430212 4.480003487242835 4.491368561335989 1.0025370414591375 5.317168611776232e-5 4.863403523220584e-5 1.5465226526106737e-7 19655.723537820082 195.11572659100054 249.99999999999997 0.8 0.95 0.1 1.0 false
N500_Complete_undir 0.006705236391699584 0.04721085620173559 0.015755602034684207 0.05771369154107946 0.42557792313735465 0.8180183062476925 0.14202742612943933 0.27299591507622906 2505.0185363746155 4.466783745752643 4.478664436710981 1.0026595814683628 7.909231284175384e-5 8.895895353256509e-5 6.16004054451687e-8 19655.723537820082 195.11572659100054 249.99999999999997 0.8 0.95 0.1 1.0 false
N500_Complete_undir 0.010580696568166991 0.04746386439975137 0.016852166555570425 0.056197002850519144 0.6278537856409673 0.8445977897789776 0.22292109380420394 0.2998766073058422 2513.426624062594 4.476149072626156 4.488208398528675 1.0026944980403953 5.085737047341101e-5 4.01066338447484e-5 1.8878181093037967e-7 19655.723537820082 195.11572659100054 249.99999999999997 0.8 0.95 0.1 1.0 false
N500_Complete_undir 0.009290171375740227 0.04409766105134346 0.013786604586093914 0.05166634640045963 0.6738549232862536 0.8535084077660108 0.21067265596974777 0.2668391621740698 2520.0987876034214 4.487108965602563 4.4970675899292525 1.0022192786679933 3.7041920794074736e-5 4.2738854231416515e-5 6.067226187069278e-8 19655.723537820082 195.11572659100054 249.99999999999997 0.8 0.95 0.1 1.0 false
N500_Complete_undir 0.009751063599005334 0.04521458815142255 0.022002170429709974 0.05766787578480291 0.4431864406357964 0.7840515631293263 0.21566189138667505 0.3815325279504774 2521.1405203567538 4.467273932477121 4.479245812715473 1.0026790288737244 0.00016177594305940874 0.00020133937707366152 1.7845965696659823e-7 19655.723537820082 195.11572659100054 249.99999999999997 0.8 0.95 0.1 1.0 false
N500_Complete_undir 0.007941582936215911 0.04330135706439342 0.01748636672379452 0.05485633899534648 0.45415854886592455 0.7893592218771055 0.18340263388064232 0.3187665645218852 2473.684896983342 4.4631563147021724 4.47292642675155 1.0021891655527193 9.8969597768243e-5 9.58653531701462e-5 3.580819629926224e-8 19655.723537820082 195.11572659100054 249.99999999999997 0.8 0.95 0.1 1.0 false
N500_Complete_undir 0.010738075805968677 0.04699391387889285 0.020113033992442176 0.057930176213251895 0.5338864245943052 0.8112164842361156 0.22849928681491766 0.3471944210630796 2511.151579905259 4.477281878199861 4.489519031408801 1.0027328115790333 0.00010860704067718037 0.00012584727046375684 1.1954751626758824e-7 19655.723537820082 195.11572659100054 249.99999999999997 0.8 0.95 0.1 1.0 false
N500_Complete_undir 0.005884269957975646 0.04338353640931046 0.012797395306338862 0.054270943600824156 0.4598021563857626 0.7993879142475724 0.13563370912088285 0.23580565321411734 2547.3889527634246 4.468638855952322 4.479179762881589 1.0023590104274054 4.9469147990346855e-5 4.452391784656892e-5 3.61229839967909e-8 19655.723537820082 195.11572659100054 249.99999999999997 0.8 0.95 0.1 1.0 false
N500_Complete_undir 0.007270168339938661 0.046471291644274965 0.018094903941896345 0.05688435640832361 0.4017798803068279 0.8169432613546288 0.15644429243735708 0.31809982716528734 2478.7435825889056 4.464713489939724 4.475779876302953 1.002478115190357 0.00011897394436511391 0.00014280363246074138 1.3044203921319113e-7 19655.723537820082 195.11572659100054 249.99999999999997 0.8 0.95 0.1 1.0 false
N500_Complete_undir 0.006599685397753178 0.04420966857790394 0.014753374229980956 0.054806556434491165 0.44733396542884934 0.8066492670588891 0.14928149452474543 0.2691899507974977 2508.399716235339 4.4562727356057765 4.466610254526002 1.002319369599479 7.449784975875216e-5 9.250503563030553e-5 8.872445268845054e-8 19655.723537820082 195.11572659100054 249.99999999999997 0.8 0.95 0.1 1.0 false
