NetName CVcr CVcl CVsr CVsl phi_r phi_l phi_c phi_s tot_biomass Adiv_mean Gdiv_mean Bdiv_mean Adiv_var Gdiv_var Bdiv_var tot_K tot_c tot_env rho_eta_hetero rho_eta_fluc d r_std Neutral
N750_Complete_undir 0.02386816529862382 0.05130937729854874 0.0250385820639086 0.05950568028947611 0.953255469407277 0.8622601581722118 0.4651813480359451 0.42077633500035466 24136.894866048573 19.50862966798131 19.982149336891627 1.0242903095036449 0.006492516007231261 1.0843398380650087e-5 1.9002841360189955e-5 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.006422560811510527 0.03666768180615391 0.009354466002907732 0.04516340965466868 0.6865769579486574 0.8118891396049291 0.17515590010472476 0.2071248843795108 25690.281225427243 19.657358108155933 19.97709479234572 1.016266803107469 0.0004507732369363681 1.705291250637752e-5 1.4970503541353842e-6 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.010529972847513603 0.041576451832720775 0.011797139698491528 0.05093916291418144 0.8925869419737434 0.8161981755131258 0.25326771245127 0.23159272794424365 25598.790281639627 19.630872479169962 19.959451461952792 1.0167413167540862 0.001149949222083427 8.748388373684827e-5 4.1561204891126935e-6 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.013609682859751103 0.04353583954114974 0.014330060735370374 0.05208459158756688 0.9497296006679729 0.8358679258904315 0.3126087150998279 0.275130519383608 25243.990070978885 19.61537357037872 19.94725882480204 1.0169242239898535 0.002083893333259503 0.00012655828701728985 4.03435799976546e-6 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.005453672839746268 0.041118003804716974 0.013289531520527248 0.05108688830276591 0.41037359603853807 0.8048641279741204 0.13263466936886253 0.2601358579870236 25846.256704927928 19.64364359880506 19.974643659117937 1.01685106937127 0.00034066421098794626 2.870041810624671e-5 8.541750578921898e-7 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.011059978810135736 0.0389987419101571 0.014062971266057427 0.04839512425824989 0.7864610259732413 0.8058403094916944 0.28359834877789225 0.2905865308044977 25490.69102775738 19.66043675878898 19.975962798155837 1.0160523972147677 0.0012719584794544428 1.9721026437197493e-5 4.005556091903179e-6 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.013724829960033179 0.0401366314606829 0.01546191493935994 0.04935480105512578 0.8876539557914118 0.8132264866360854 0.3419527115392772 0.31328086850335163 25843.907949000004 19.650901794335105 19.95510062458423 1.0154856630229767 0.0021181718331342715 0.0001697259826939009 5.990967756620534e-6 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.011127769160752183 0.03894230738914639 0.012798054885317331 0.04826522355278802 0.8694890950591722 0.8068398843435359 0.28575012388335275 0.2651609988156381 25615.246382469002 19.6612645352778 19.975385251017485 1.015980488252606 0.0013156710192461485 2.7133180713591704e-5 4.402696568747531e-6 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.014025905266867913 0.04021342525369959 0.014641077560449729 0.050012300916998 0.9579831271952555 0.8040706889378888 0.3487866347713702 0.2927495294557338 25678.06668286182 19.67187438197623 19.974491059516986 1.0153890880753826 0.0024038671580270225 1.7939727003415383e-5 5.572867077221738e-6 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.005664514066945452 0.04391372533519486 0.015717279942887838 0.05408262409671766 0.3604004056381701 0.8119747528644794 0.12899188177974052 0.29061607504066617 25490.76166102195 19.61812989983865 19.973189386650308 1.018099496764061 0.000356150340348401 3.969343302183265e-5 1.0954005474461042e-6 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.009741479992514587 0.03714235249427488 0.012023819522107237 0.047016118356803846 0.8101818207270747 0.7899918962344517 0.2622741786217267 0.2557382434436388 25918.63621262976 19.71162323264989 19.97626510430182 1.0134284071007176 0.0010271594498498658 3.974023968097711e-6 2.833581246632097e-6 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.010506516339773097 0.03784369484864632 0.012362145910194917 0.0471557117305469 0.8498942186977826 0.8025262149554543 0.27762924264645156 0.26215585464669955 25548.659188480557 19.659298466250586 19.978317805948603 1.0162307014752552 0.0012352851846526656 1.9937114096939286e-6 3.4138979221049486e-6 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.021862895045359043 0.045065524304156945 0.02250488782786033 0.05273704029481648 0.9714731845183195 0.8545326785922499 0.48513570812583134 0.42673778623242786 25041.70797755907 19.595519843828523 19.962934915307248 1.0187627021028196 0.0053191963330638725 0.00012077972320891785 1.193025665096508e-5 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.016157073809166624 0.046948353656912745 0.017761794888274434 0.05677479864753503 0.9096532141485781 0.8269224158481641 0.3441456952300953 0.3128464620111091 25110.82521634507 19.643711037403456 19.976924275739787 1.016970965348364 0.003046359791044829 9.560722104859374e-6 8.383091283442669e-6 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.007531751027628399 0.04098250443944755 0.008966973185758753 0.05079885037799859 0.8399435206955054 0.806760470650285 0.1837796672176711 0.17651921488448535 25855.045897911048 19.647087619111108 19.967085474463346 1.0162888356464734 0.0005373399353530628 4.06927628912843e-5 1.8066606589902353e-6 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.007030236628740844 0.04003521110454127 0.01506373472495841 0.049884718569768886 0.4666994445336831 0.802554614967867 0.1756013377919566 0.30197092730693137 26083.76639136835 19.660350539377536 19.96784281931501 1.015642183891619 0.0005164279469932526 0.00015476467492630316 3.0059883462345934e-6 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
N750_Complete_undir 0.022752720458904446 0.05195870565155138 0.023575970721183642 0.060782717421872794 0.9650809601006383 0.8548269616003369 0.43790006262839026 0.3878729303520704 24000.1000067963 19.47878580373975 19.86746325891293 1.019971545164329 0.005374721547040865 0.0006079492843380657 2.292108247638745e-5 27536.4611897172 0.0 375.0 0.0 0.95 0.05 0.2 false
